f1_ortalama,f1_std,f1_range,f2_ortalama,f2_std,f2_range,f2_entropi,f3_ortalama,f3_std,f1_gecis_yumusakligi,f2_gecis_yumusakligi,f3_gecis_yumusakligi,spektral_merkez_ortalama,spektral_merkez_std,ritmik_duzgunluk_npvi,ortalama_harf_sure_ms,toplam_sure_ms,nazal_oran,nazal_ortalama,tefhim_orani,tefhim_ortalama,harf_sayisi,metin_id,corpus,sure_no,sure_adi
631.4685314685315,152.10852788218935,530.0,1335.6993006993007,312.35863454199176,1414.0,1.6600951639644932,2487.902097902098,158.53725223192546,183.09859154929578,321.3521126760563,173.2394366197183,1718.881118881119,1034.7426996112358,72.39044333716622,274.72027972027973,39285.0,0.18181818181818182,0.22587412587412586,0.04895104895104895,0.04895104895104895,143,s001,Qur'an,1,Fatiha
622.6277372262774,154.68484594947464,530.0,1264.1678832116788,288.6383985194949,1400.0,1.5638751179078116,2455.8394160583944,180.67853590530694,197.72058823529412,316.2352941176471,222.5,1691.8248175182482,1098.3492716780804,73.96397184753665,293.5875912408759,40221.5,0.1678832116788321,0.20985401459854014,0.0364963503649635,0.0364963503649635,137,s078,Qur'an,78,Nebe
614.7058823529412,154.13392370268838,530.0,1220.1985294117646,271.0193671138255,1414.0,1.6962844061989402,2427.0588235294117,178.20228776118952,193.7037037037037,308.3407407407407,219.7037037037037,1730.3676470588234,1165.5277825493752,74.1742522756827,284.74264705882354,38725.0,0.08088235294117647,0.11213235294117647,0.0661764705882353,0.0661764705882353,136,s079,Qur'an,79,Naziat
608.018018018018,163.99747207357254,530.0,1285.9099099099099,305.9803193797595,1414.0,1.6890196224470089,2455.8558558558557,193.1879002630633,186.72727272727272,335.8,230.9090909090909,1891.7117117117118,1206.4943437805864,76.9718350255263,315.9549549549549,35071.0,0.13513513513513514,0.1684684684684685,0.018018018018018018,0.018018018018018018,111,s080,Qur'an,80,Abese
605.0,147.2267796213758,530.0,1238.7028985507247,270.9986739745164,1414.0,1.7175092306984632,2425.0,165.7711448466473,166.71532846715328,285.97080291970804,185.83941605839416,1775.3623188405797,1178.0179616629025,60.701203558346414,279.29347826086956,38542.5,0.09420289855072464,0.12644927536231884,0.043478260869565216,0.043478260869565216,138,s081,Qur'an,81,Tekvir
613.2638888888889,141.8177129134004,530.0,1239.8125,252.68439275853584,1400.0,1.4641080080430757,2433.2638888888887,159.28150247069178,164.8951048951049,274.2937062937063,185.73426573426573,1725.6944444444443,1142.8063975106886,62.47551202137133,294.7048611111111,42437.5,0.09722222222222222,0.13194444444444445,0.041666666666666664,0.041666666666666664,144,s082,Qur'an,82,İnfitar
589.8692810457517,168.87163755757962,530.0,1278.450980392157,352.5394511122721,1400.0,1.5954853906507651,2437.843137254902,188.3465765826899,193.42105263157896,404.4342105263158,228.48684210526315,1787.8431372549019,1192.175986688717,77.65610741754661,302.52287581699346,46286.0,0.1568627450980392,0.18725490196078431,0.032679738562091505,0.032679738562091505,153,s083,Qur'an,83,Müteffifin
614.5890410958904,162.14371568900432,530.0,1270.8287671232877,304.4849763392083,1400.0,1.5776572253586862,2446.5068493150684,178.84558452411346,197.51724137931035,331.7103448275862,210.6206896551724,1830.0,1214.3886223229354,65.1034579015318,297.01027397260276,43363.5,0.10273972602739725,0.11438356164383562,0.04794520547945205,0.04794520547945205,146,s084,Qur'an,84,İnşikak
611.6891891891892,168.5004952816264,530.0,1224.5,316.4975022317221,1414.0,1.7186996465067121,2434.7297297297296,203.22882172813982,209.79591836734693,360.3265306122449,246.9387755102041,1645.945945945946,1074.8902130223032,76.11713552307612,324.2905405405405,47995.0,0.1554054054054054,0.1793918918918919,0.04054054054054054,0.04054054054054054,148,s085,Qur'an,85,Buruc
632.936507936508,138.52435153704155,530.0,1246.9603174603174,276.9716448954471,1414.0,1.6865007959472567,2455.6349206349205,162.25834794845517,167.6,301.248,189.04,1705.952380952381,1098.5800204011039,74.41497659906396,286.9920634920635,36161.0,0.15873015873015872,0.1984126984126984,0.11904761904761904,0.11904761904761904,126,s086,Qur'an,86,Tarık
605.3508771929825,155.48554298769355,530.0,1282.4122807017543,301.7058463867102,1400.0,1.5849617597076282,2452.280701754386,182.6992307751276,185.6637168141593,330.7079646017699,206.99115044247787,2108.0701754385964,1241.1227777546317,74.65690759377858,317.6666666666667,36214.0,0.07894736842105263,0.1355263157894737,0.05263157894736842,0.05263157894736842,114,s087,Qur'an,87,Ala
606.4655172413793,172.2580978044725,530.0,1316.3879310344828,360.65055614464745,1414.0,1.7697523091544958,2462.3275862068967,185.84085590031006,205.3913043478261,417.37391304347824,223.65217391304347,1761.6379310344828,1169.297566892426,76.65295792470737,273.87931034482756,31770.0,0.1810344827586207,0.20172413793103447,0.05172413793103448,0.05172413793103448,116,s088,Qur'an,88,Gaşiye
593.7593984962406,153.61607011681568,530.0,1275.984962406015,313.4340713245831,1414.0,1.765810037927741,2443.3834586466164,174.49772051011365,197.12121212121212,350.5151515151515,212.72727272727272,1950.6766917293232,1120.3484927002946,71.9903744294626,289.50375939849624,38504.0,0.06015037593984962,0.12556390977443607,0.03759398496240601,0.03759398496240601,133,s089,Qur'an,89,Fecr
627.4015748031496,149.63058236410882,530.0,1295.708661417323,295.4948634653886,1400.0,1.5697943102381973,2473.3070866141734,167.8912992831277,174.68253968253967,299.2063492063492,182.77777777777777,1734.6456692913387,1072.2291117809366,73.14863216588256,317.38582677165357,40308.0,0.11811023622047244,0.1622047244094488,0.047244094488188976,0.047244094488188976,127,s090,Qur'an,90,Belad
