f1_ortalama,f1_std,f1_range,f2_ortalama,f2_std,f2_range,f2_entropi,f3_ortalama,f3_std,f1_gecis_yumusakligi,f2_gecis_yumusakligi,f3_gecis_yumusakligi,spektral_merkez_ortalama,spektral_merkez_std,ritmik_duzgunluk_npvi,ortalama_harf_sure_ms,toplam_sure_ms,nazal_oran,nazal_ortalama,tefhim_orani,tefhim_ortalama,harf_sayisi,metin_id,corpus,kategori,yazar
582.1428571428571,130.79492698560625,480.0,1190.1904761904761,295.0178556416413,1400.0,1.410352868465972,2399.5238095238096,152.08006007100937,173.17073170731706,291.9268292682927,186.58536585365854,1709.047619047619,1270.2789523486742,65.67079726135914,213.66666666666666,8974.0,0.16666666666666666,0.19047619047619047,0.09523809523809523,0.09523809523809523,42,cahiliye_001,Kontrol,cahiliye_siiri,Imrul Qays
617.2549019607843,147.07712304444087,530.0,1268.8235294117646,303.7041068942039,1414.0,1.65720437377161,2459.8039215686276,165.39305763554003,178.6,266.34,163.0,2035.2941176470588,1219.8639476391256,71.79070523236919,304.55882352941177,15532.5,0.0196078431372549,0.08627450980392158,0.13725490196078433,0.13725490196078433,51,cahiliye_002,Kontrol,cahiliye_siiri,Imrul Qays
595.1219512195122,163.3061161344683,530.0,1383.658536585366,319.3572515764184,1080.0,1.7056742020393887,2469.512195121951,163.00458200221865,198.5,369.5,204.5,2169.512195121951,1271.2524095850001,74.41634241245137,254.5731707317073,10437.5,0.14634146341463414,0.1719512195121951,0.0,0.0,41,cahiliye_003,Kontrol,cahiliye_siiri,Imrul Qays
604.8,157.44510154336336,530.0,1249.12,274.1699210343834,1414.0,1.6668612328056358,2436.8,191.38902789867552,203.26530612244898,295.6734693877551,237.75510204081633,1856.6,1149.5714157893804,79.1753465986639,284.72,14236.0,0.08,0.128,0.02,0.02,50,cahiliye_004,Kontrol,cahiliye_siiri,Imrul Qays
576.2162162162163,174.8567189714675,530.0,1299.7837837837837,383.79999965741837,1414.0,1.6953055776885748,2422.972972972973,192.3519418664914,218.88888888888889,497.3888888888889,267.5,1962.162162162162,1463.2158864843525,74.39143135345667,281.6216216216216,10420.0,0.21621621621621623,0.20810810810810812,0.05405405405405406,0.05405405405405406,37,cahiliye_005,Kontrol,cahiliye_siiri,Tarafa ibn al-Abid
588.4615384615385,164.43436008669332,530.0,1244.7435897435898,340.68924993755115,1400.0,1.6217271802458562,2430.25641025641,198.04800220365092,205.52631578947367,325.7894736842105,208.94736842105263,1987.6923076923076,1212.3244499687823,66.44995543438368,248.30769230769232,9684.0,0.02564102564102564,0.07307692307692308,0.07692307692307693,0.07692307692307693,39,cahiliye_006,Kontrol,cahiliye_siiri,Tarafa ibn al-Abid
635.6410256410256,165.4952919276863,530.0,1355.8974358974358,293.0976729536781,1400.0,1.4923479021148502,2491.2820512820513,165.0824112325609,177.6315789473684,322.10526315789474,186.31578947368422,1595.128205128205,1014.0446351246003,75.32701849345963,292.43589743589746,11405.0,0.20512820512820512,0.20641025641025643,0.0,0.0,39,cahiliye_007,Kontrol,cahiliye_siiri,Zuhayr ibn Abi Sulma
606.4444444444445,150.37960197898525,480.0,1292.3555555555556,283.3084816987821,1414.0,1.6425312926169493,2448.6666666666665,175.06316320434493,196.8181818181818,306.54545454545456,210.9090909090909,2110.222222222222,1351.6236966271163,66.44897959183673,275.22222222222223,12385.0,0.1111111111111111,0.16666666666666669,0.022222222222222223,0.022222222222222223,45,cahiliye_008,Kontrol,cahiliye_siiri,Zuhayr ibn Abi Sulma
643.8461538461538,146.82302943471296,530.0,1332.2564102564102,284.104776442372,1400.0,1.3575420056199283,2497.1794871794873,148.1847204474739,173.94736842105263,313.0,182.3684210526316,1761.5384615384614,921.7779321577501,77.20930232558139,256.02564102564105,9985.0,0.10256410256410256,0.1692307692307692,0.05128205128205128,0.05128205128205128,39,cahiliye_009,Kontrol,cahiliye_siiri,Lebid ibn Rabi'a
639.7916666666666,123.66772657901583,530.0,1289.1666666666667,171.37718310466212,1050.0,1.563666701816297,2467.2916666666665,148.01097345767607,146.59574468085106,181.70212765957447,175.74468085106383,1802.2916666666667,1020.8232780117014,75.89789925457421,233.69791666666666,11217.5,0.14583333333333334,0.2041666666666667,0.0,0.0,48,cahiliye_010,Kontrol,cahiliye_siiri,Antara al-Absi
